#       time         integral Re         integral Im
#       r =            80.000000           80.000000
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  41.0156250    8.5158220068e-05   -8.2840911377e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  42.1875000    8.7839638934e-05   -5.1072495099e-08
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  43.3593750    8.9294793200e-05   -3.4131724313e-09
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  44.5312500    8.9428420147e-05    3.9061698407e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  45.7031250    8.8414120783e-05    5.6090118919e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  46.8750000    8.6698875830e-05    3.9069909329e-08
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  48.0468750    8.4827279633e-05   -6.0439458831e-09
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  49.2187500    8.3173705467e-05   -6.3890866437e-08
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  50.3906250    8.1755710053e-05   -1.1837928005e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
  51.5625000    8.0261651945e-05   -1.5956110906e-07
